"","PUMA","Year","X","VAL","HINCP","HHT_MDC","HHT_OF","HHT_NFLA","HHT_NFNLA","SEX_M","SEX_F","RACE_W","RACE_B","RACE_AI","RACE_AN","RACE_AIAN","RACE_A","RACE_PI","RACE_O","RACE_2M","EDU_NO","EDU_NOHS","EDU_HS","EDU_ALT","EDU_SC","EDU_AD","EDU_BD","EDU_MD","EDU_PD","EDU_DD","AGEP","PINCP","EDU_NONE","EDU_HSDIP","EDU_HIED"
"134","04303",2005,9,0,62,12,7,5,7,32,32,31,1,1,0,0,NA,NA,3,8,21,32,4,0,0,0,0,0,0,0,79,55,32,2,0
"135","04304",2005,9,0,44,15,11,12,13,39,43,40,4,9,0,0,NA,NA,2,11,34,42,3,0,0,0,0,0,0,0,93,43,42,1,0
"136","04305",2005,9,0,50,12,11,5,7,35,37,33,5,5,0,10,NA,NA,7,21,34,36,0,0,0,0,0,0,0,0,73,43,37,0,0
"137","04306",2005,10,0,54,10,8,5,6,28,31,27,3,1,0,0,NA,NA,6,13,29,29,0,0,0,0,0,0,0,0,76,45,29,0,0
"138","04307",2005,10,0,55,12,8,4,4,33,36,33,1,0,0,0,NA,NA,1,10,25,35,1,0,0,0,0,0,0,0,76,40,35,0,0
"139","04308",2005,10,0,54,12,8,4,7,32,33,33,1,0,0,0,NA,NA,1,6,20,33,0,0,0,0,0,0,0,0,79,44,33,0,0
"140","04309",2005,10,0,44,8,9,3,5,30,29,19,10,7,0,5,NA,NA,20,33,43,29,0,0,0,0,0,0,0,0,70,32,30,0,0
"141","04310",2005,10,0,55,11,7,5,7,32,34,32,3,0,0,0,NA,NA,3,12,22,34,1,0,0,0,0,0,0,0,76,46,33,1,0
"142","04311",2005,10,0,53,11,7,5,6,29,31,29,2,4,0,5,NA,NA,3,7,16,31,0,0,0,0,0,0,0,0,79,46,31,0,0
"143","04312",2005,10,0,47,9,8,5,3,28,31,22,10,8,0,0,NA,NA,10,3,20,30,1,0,0,0,0,0,0,0,76,37,30,0,0
"144","00100",2006,10,0,27,18,16,12,17,56,58,57,2,17,0,15,NA,NA,1,11,42,58,1,0,0,0,0,0,0,0,81,22,58,1,0
"145","00200",2006,10,0,28,29,20,21,29,88,81,82,5,60,0,0,NA,NA,5,24,65,86,1,0,0,0,0,0,0,0,84,26,86,1,0
"146","00300",2006,10,0,33,19,16,13,15,53,54,55,1,1,0,0,NA,NA,1,11,38,55,1,0,0,0,0,0,0,0,85,32,55,0,0
"147","00401",2006,10,0,31,28,22,17,11,76,78,78,0,11,0,5,NA,NA,3,19,49,78,2,0,0,0,0,0,0,0,84,31,78,1,0
"148","00402",2006,10,0,25,12,17,14,15,49,47,44,7,7,0,0,NA,NA,3,20,53,48,1,0,0,0,0,0,0,0,85,25,49,0,0
"149","00500",2006,10,0,28,24,18,16,15,68,72,69,4,15,0,10,NA,NA,3,21,47,72,0,0,0,0,0,0,0,0,81,26,72,0,0
"150","00600",2006,10,0,28,16,12,12,14,46,47,47,1,11,0,0,NA,NA,1,7,25,47,1,0,0,0,0,0,0,0,82,28,47,0,0
"151","00700",2006,11,0,21,7,18,15,21,36,43,27,18,9,0,5,NA,NA,2,35,41,39,1,0,0,0,0,0,0,0,74,22,40,0,0
"152","00801",2006,11,0,35,18,11,11,11,49,49,49,1,7,0,10,NA,NA,1,7,34,49,3,0,0,0,0,0,0,0,80,35,49,2,0
"153","00802",2006,11,0,42,14,9,11,10,38,42,38,3,3,67,5,NA,NA,2,11,20,41,2,0,0,0,0,0,0,0,81,41,40,1,0
"154","00803",2006,11,0,35,16,14,13,12,44,51,48,1,1,0,15,NA,NA,1,12,31,49,1,0,0,0,0,0,0,0,86,35,49,0,0
"155","00804",2006,11,0,35,21,16,13,16,60,62,61,2,9,0,15,NA,NA,1,15,49,62,1,0,0,0,0,0,0,0,82,32,62,1,0
"156","00901",2006,11,0,21,5,13,10,10,25,27,14,20,0,0,0,NA,NA,3,11,27,26,1,0,0,0,0,0,0,0,76,18,26,1,0
