"OPEID","Name","Address","City","State","State Desc","Zip Code","Zip Ext","Program Length","Sch Type","Year 1","Num 1","Denom 1","DRate 1","PRate 1","Ethnic Code","Cong Dis","Region","Average or Greater Than 30","Year 2","Num 2","Denom 2","DRate 2","PRate 2","Year 3","Num 3","Denom 3","DRate 3","PRate 3"
"001123","BROOKS INSTITUTE","1321 ALAMEDA PADRE SERRA","SANTA BARBARA","CA","CALIFORNIA","93103","1809","8","3","2012","38","359","10.5","A","5","23","09","0","2011","50","396","12.6","A","2010","60","515","11.6","A"
"001124","CABRILLO COLLEGE","6500 SOQUEL DRIVE","APTOS","CA","CALIFORNIA","95003","3194","5","1","2012","53","324","16.3","A","5","17","09","0","2011","53","303","17.4","A","2010","52","272","19.1","A"
"001125","CALIFORNIA BAPTIST UNIVERSITY","8432 MAGNOLIA AVENUE","RIVERSIDE","CA","CALIFORNIA","92504","3297","8","2","2012","75","1567","4.7","A","5","44","09","0","2011","98","1447","6.7","A","2010","122","1260","9.6","A"
"001127","CALIFORNIA COLLEGE OF THE ARTS","1111 EIGHTH STREET","SAN FRANCISCO","CA","CALIFORNIA","94107","2206","8","2","2012","17","504","3.3","A","5","08","09","0","2011","35","521","6.7","A","2010","40","446","8.9","A"
"001131","CALIFORNIA INSTITUTE OF TECHNOLOGY","1200 EAST CALIFORNIA BOULEVARD","PASADENA","CA","CALIFORNIA","91125","0001","8","2","2012","1","39","2.5","A","5","29","09","0","2011","0","36","0","A","2010","1","33","3","A"
"001132","CALIFORNIA INSTITUTE OF THE ARTS","24700 MCBEAN PARKWAY","VALENCIA","CA","CALIFORNIA","91355","2397","8","2","2012","19","355","5.3","A","5","25","09","0","2011","24","389","6.1","A","2010","44","389","11.3","A"
"001133","CALIFORNIA LUTHERAN UNIVERSITY","60 WEST OLSEN ROAD","THOUSAND OAKS","CA","CALIFORNIA","91360","2787","8","2","2012","27","986","2.7","A","5","24","09","0","2011","33","860","3.8","A","2010","32","836","3.8","A"
"001134","CALIFORNIA MARITIME ACADEMY","200 MARITIME ACADEMY DRIVE","VALLEJO","CA","CALIFORNIA","94590","8181","8","1","2012","7","181","3.8","A","5","07","09","0","2011","11","187","5.8","A","2010","14","153","9.1","A"
"001137","CALIFORNIA STATE UNIVERSITY, FULLERTON","800 NORTH STATE COLLEGE BOULEVARD","FULLERTON","CA","CALIFORNIA","92831","3599","8","1","2012","185","5249","3.5","A","5","40","09","0","2011","265","4731","5.6","A","2010","354","4611","7.6","A"
"001138","CALIFORNIA STATE UNIVERSITY, EAST BAY","25800 CARLOS BEE BOULEVARD","HAYWARD","CA","CALIFORNIA","94542","3000","8","1","2012","120","2576","4.6","A","5","13","09","0","2011","142","2430","5.8","A","2010","236","2308","10.2","A"
"001139","CALIFORNIA STATE UNIVERSITY, LONG BEACH","1250 BELLFLOWER BOULEVARD","LONG BEACH","CA","CALIFORNIA","90840","0006","8","1","2012","208","5461","3.8","A","5","46","09","0","2011","291","5283","5.5","A","2010","306","5053","6","A"
"001140","CALIFORNIA STATE UNIVERSITY, LOS ANGELES","5151 STATE UNIVERSITY DRIVE","LOS ANGELES","CA","CALIFORNIA","90032","4226","8","1","2012","211","3463","6","A","3","32","09","0","2011","213","2790","7.6","A","2010","238","3116","7.6","A"
"001141","CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","1000 EAST VICTORIA STREET","CARSON","CA","CALIFORNIA","90747","0001","8","1","2012","215","2784","7.7","A","3","37","09","0","2011","291","2595","11.2","A","2010","217","2356","9.2","A"
"001142","CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","5500 UNIVERSITY PARKWAY","SAN BERNARDINO","CA","CALIFORNIA","92407","2397","8","1","2012","254","3669","6.9","A","3","41","09","0","2011","329","3384","9.7","A","2010","371","3539","10.4","A"
"001143","CALIFORNIA POLYTECHNIC STATE UNIVERSITY","ONE GRAND AVENUE","SAN LUIS OBISPO","CA","CALIFORNIA","93407","0001","8","1","2012","41","2554","1.6","A","5","22","09","0","2011","78","2468","3.1","A","2010","100","2620","3.8","A"
"001144","CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","3801 WEST TEMPLE AVENUE","POMONA","CA","CALIFORNIA","91768","2500","8","1","2012","102","3184","3.2","A","5","38","09","0","2011","111","2920","3.8","A","2010","130","2433","5.3","A"
"001146","CALIFORNIA STATE UNIVERSITY, CHICO","400 WEST FIRST STREET","CHICO","CA","CALIFORNIA","95929","0001","8","1","2012","162","2902","5.5","A","5","02","09","0","2011","212","2782","7.6","A","2010","195","2713","7.1","A"
"001147","CALIFORNIA STATE UNIVERSITY, FRESNO","5150 NORTH MAPLE AVENUE            MS JA64","FRESNO","CA","CALIFORNIA","93740","8026","8","1","2012","150","3463","4.3","P","3","21","09","0","2011","219","3356","6.5","P","2010","258","3193","8","P"
